file_name,u_percent,uSensor_V,uValve_V,ps_bar,pa_bar,pb_bar,dp_bar,x_m,xdot_mps,Q_m3ps,Ad_m2
5prosent.csv,5,5.15217886873348,5.25009918515581,123.823505195638,40.6611982909836,60.8043165700522,83.162306904655,0.0816480568449538,0,0,0
10prosent.csv,10,5.42303856718137,5.5000457777642,123.744560374399,46.9119773997741,54.1506890486992,76.8325829746246,0.0816807191963973,0,0,0
15prosent.csv,15,5.68615316105447,5.74999237037264,123.657772784744,44.7670902454695,53.394001786691,78.8906825392741,0.0817055382321173,0,0,0
20prosent.csv,20,5.94952826841285,6.00024414807581,123.614818170353,40.8906043136191,0.224693779515502,82.7242138567337,0.0817498157835854,0,0,0
25prosent.csv,25,6.21131920213313,6.25019074068423,123.644045669254,64.6260239242509,0.344689609803902,59.0180217450032,0.0872054096832456,0.000922491309160444,1.63017670492062e-05,2.16150801280997e-07
30prosent.csv,30,6.47345039098558,6.50013733329264,123.314538338719,66.2965987981504,0.962809166311298,57.0179395405688,0.102767381515756,0.00276747392748203,4.89053011476309e-05,6.5972762376174e-07
35prosent.csv,35,6.73804570080449,6.75008392590107,122.682493578318,68.3782748398394,1.88896304739259,54.3042187384786,0.11021502978174,0.00540316338222893,9.54817784311262e-05,1.31983063768042e-06
40prosent.csv,40,6.99965814537835,7.00003051850945,122.123113559847,70.3394202382195,2.47335249138679,51.7836933216275,0.128051999346272,0.00843420625518467,0.00014904472730709,2.10976749461713e-06
45prosent.csv,45,7.26174557585224,7.24997711111791,121.544116012534,72.4333236503001,3.38363612592767,49.1107923622345,0.147613740275565,0.0113334646554046,0.000200278852318905,2.91112674689894e-06
50prosent.csv,50,7.52411105711682,7.50022888882108,121.263821037374,74.0923051882248,4.07854577476453,47.1715158491487,0.161053432432411,0.0139691541101491,0.000246855329602358,3.66114629304769e-06
55prosent.csv,55,7.78871438197889,7.75017548142948,120.62847481983,75.3896113363675,4.87354334112837,45.2388634834623,0.166280849493702,0.0164730590921563,0.000291102983021638,4.40864677320171e-06
60prosent.csv,60,8.04960649433883,8.00012207403788,119.881041291543,77.8380785546433,6.78184759056369,42.0429627368999,0.172033295693838,0.0179226882922674,0.000316720045527565,4.97557624612312e-06
65prosent.csv,65,8.31462287860494,8.25006866664633,119.681553699926,79.0533314865721,7.06666781437131,40.6282222133536,0.182688928603263,0.0200312398560651,0.000353981227354364,5.65693009765747e-06
70prosent.csv,70,8.57711078146849,8.50001525925473,119.368435066104,80.1977214928887,7.67759189255371,39.1707135732152,0.179195742355534,0.0222715758925981,0.000393571233045302,6.40555990193561e-06
75prosent.csv,75,8.84372512972842,8.74996185186318,119.106003094121,82.0099240683129,8.40144865209126,37.0960790258079,0.216785199288313,0.0247754808746045,0.000437818886464567,7.3222571886695e-06
80prosent.csv,80,9.10626382913377,8.99990844447158,118.745955081848,83.0252947502191,9.03275636369967,35.7206603316292,0.221302987383175,0.0264886790201882,0.000468093596698807,7.97787912550032e-06
85prosent.csv,85,9.36778174298396,9.25016022217477,118.636164399293,83.6182366043652,9.24272644701746,35.0179277949284,0.22365860526702,0.0274111703293534,0.000484395363748098,8.33814123963728e-06
90prosent.csv,90,9.63336439338186,9.50010681478315,118.447507733507,84.0307470693248,9.51934562242346,34.416760664182,0.216042999668851,0.0283336616385118,0.000500697130797269,8.69369896511149e-06
95prosent.csv,95,9.89943866793718,9.75005340739155,118.29832961393,84.2957057803384,9.68955093624529,34.0026238335911,0.227908427308142,0.0289925840021971,0.000512341250118117,8.94988797241061e-06
100prosent.csv,100,9.91250464818249,10,118.240721682864,84.3719056983211,9.6483697096909,33.8688159845425,0.240576689739572,0.0289925840021958,0.000512341250118094,8.96755001238804e-06
